area,arquivo,linhas,papel_atual,veredito,motivo,risco_se_errar
TABELA,server/db/schema/process-runtime-receipts.ts,14,razão de efeitos (dedupe de hook),MANTER,ortogonal ao processo; é do runtime,hoje é write-only: ninguém lê o payload
TABELA,server/db/schema/process-role-models.ts,12,modelo por papel (1 linha mutável),SUBSTITUIR,preferência vai para o manifesto por tipo; sem histórico hoje,sem isso não há como atribuir desempenho a modelo
TABELA,server/db/schema/institution-leases.ts,13,lease,MANTER,-,-
PONTE,agent/tools/process.ts,221,tools resolvidas por papel (translator/supervisor/executor/metabolism),ALTERAR,é AQUI que nasce a interface do binário: perguntas por papel,já faz autoridade disjunta estruturalmente — a peça mais valiosa a preservar
PONTE,agent/lib/process-internal.ts,189,cliente HTTP das 11 rotas internas,ALTERAR,acompanha a interface nova,-
PONTE,agent/lib/role-context.ts,34,papel a partir do auth,MANTER,-,é o que impede escalar papel pelo header
PONTE,agent/channels/eve.ts,62,auth por sessão de app vs serviço,MANTER,fixa role=translator para browser,vetor de escalação se mexer errado
PONTE,agent/agent.ts,66,modelo dinâmico por papel,MANTER,-,-
PONTE,agent/lib/model-config.ts,39,resolve modelo por papel,ALTERAR,passa a consultar catálogo/manifesto,-
PONTE,agent/hooks/process-observer.ts,37,projeta todo evento,MANTER,-,um POST por evento; sem retenção
PONTE,agent/schedules/metabolism.ts,26,chama o tick,MANTER,-,-
PROMPT,agent/lib/base-instructions.ts,79,persona + regras gerais,ALTERAR,persona fica; procedimento de processo sai para o manifesto,-
PROMPT,agent/instructions.ts,35,injeta memória no session.started,MANTER,-,-
PROMPT,server/utils/processes.ts (6 pontos),1006,monta mensagem de executor/supervisor e prompt humano,ABSORVER,declarado por stage no manifesto,prompt em código = mudar processo exige deploy
PROMPT,server/utils/metabolism.ts (4 pontos),291,mensagens de reemissão e escalação,ABSORVER,idem,-
PROMPT,server/utils/process-notifications.ts (3 pontos),111,texto para humano em Slack/iMessage,ALTERAR,"fica, mas usa origem pública e template do tipo",links quebrados se virar loopback
PROMPT,server/utils/eve-control-plane.ts (2 pontos),157,mensagem do Translator,ABSORVER,idem,-
PROMPT,server/utils/process-recovery.ts (1 ponto),131,prompt de recuperação,ABSORVER,idem,-
PROMPT,server/utils/metabolism-tick.ts (1 ponto),137,mensagem interpretativa com orçamento,MANTER,"já é composição, não extração",-
RECIBO,shared/canonical.ts,56,JCS RFC 8785,MANTER,base do encadeamento de hash do arquivo,confere com os 9 vectors do conformance
RECIBO,shared/effect-key.ts,34,chave de efeito por escopo,MANTER,-,-
RECIBO,server/utils/process-runtime.ts,68,ingestão de fato de runtime,MANTER,-,-
RECIBO,shared/metabolism-digest.ts,106,projeção com orçamento de tokens,MANTER,é o padrão a generalizar para a interface por papel,-
NOVO,(a criar) formato do arquivo-processo,,-,NOVO,"JSON append-only, encadeado, meio preenchido pelo molde",é o coração; errar o esquema é caro porque append-only não reescreve
NOVO,(a criar) interface de perguntas por papel,,-,NOVO,substitui get_process_context que hoje devolve o dossiê inteiro,VAZAMENTO ATUAL: Executor recebe rationale do Supervisor e findings anteriores
NOVO,(a criar) compositor único de prompt,,-,NOVO,um lugar em vez de 17,-
NOVO,(a criar) motor de transição entre stages,,-,NOVO,stages declaradas hoje; nada avança entre elas,multi-stage nunca existiu
